# 戰鬥畫面 UI 標籤 + 怪物名 — 譯名以 CONTEXT.md「戰鬥 / Combat」「怪物」為準。
# 選單選項源自原版戰鬥選單資源 Section 0x12（docs/reverse-engineering/24_SCRIPT_TEXT_MAPPING.md:136）。
# english	chinese
Encounter	遭遇戰
Will the party:	隊伍要：
Fight	戰鬥
Quickly fight	快速戰鬥
Run	逃跑
Advance	前進
Attack	攻擊
F:Fight  R:Run	F:戰鬥  R:逃跑
hit	命中
miss	落空
damage	傷害
slain	擊殺
The party flees!	隊伍逃離了！
# 戰報訊息模板（對齊 DOS docs/reverse-engineering/43 §11；%s/%s/%d 順序固定：攻擊者/目標/傷害值，勿調換）
%s attacks %s for %d damage	%s 攻擊 %s，命中 %d 點傷害
%s attacks %s and misses	%s 攻擊 %s，落空
, stunning him	，使其暈眩
, killing him	，將其擊倒
# 怪群描述（%d 數量 / %s 怪名 / %d 存活）
%d %s (%d left)	%d 隻 %s（存活 %d）
# 控制類法術戰報（grounded 手冊 docs/manual/33；持續/逃離為 remake 設計）
Not enough power	法力不足
The party is full.	隊伍已滿，無法再召喚。
%s is disoriented!	%s 迷失了方向！
%s flees in terror!	%s 嚇得逃跑了！
%s is disarmed!	%s 被解除了武裝！
%s is too disoriented to act!	%s 太過迷失，無法行動！
%s casts %s	%s 施放了 %s
# 特殊攻擊（手冊 §戰鬥；命中/傷害/卸武裝/DV 修正係數為 remake 設計 grounded 手冊）
M:Mighty D:Disarm A:Advance Q:Quick E:Dodge	M:強力 D:卸武 A:前進 Q:快速 E:閃避
%s takes a defensive stance!	%s 擺出防禦姿態！
# 勝負結果
Victory!	勝利！
The party has fallen.	全隊昏倒。
Each member gets 80 experience points for combat.	每名隊員獲得 80 點戰鬥經驗值。
Each member +80 XP	每名隊員 +80 XP
%s reaches level %d!	%s 升到了 %d 級!
[ continue ]	［繼續］
# 怪物名（res31，oracle 對拍）
Robber	強盜
King's Guard	禁衛軍
Soldier	士兵
Bandit	山賊
Pikeman	長矛兵
Loon	瘋子
Fanatic	狂熱者
Yonderboy	遠方少年
Born Loser	天生輸家
Unjustly Accused	蒙冤者
Innocent Man	無辜者
Giant Spider	巨蜘蛛
Wild Dog	野狗
Spider	蜘蛛
Cannibal	食人者
Big Dog	大狗
Wild hound	野獵犬
Rock Spider	岩蜘蛛
Wolf	狼
Jail Keeper	獄卒
Drunk	醉漢
Humbaba	胡姆巴巴
Gladiator	鬥士
